[2025-11-19T06:55:38.760+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-11-19T06:56:21.886+0000] {subprocess.py:93} INFO - Added amber-202001-0234
[2025-11-19T06:56:21.887+0000] {subprocess.py:93} INFO - Added amber-202001-0236
[2025-11-19T06:56:21.887+0000] {subprocess.py:93} INFO - Added amber-202001-0238
[2025-11-19T06:56:21.887+0000] {subprocess.py:93} INFO - Added amber-202001-0240
[2025-11-19T06:56:21.887+0000] {subprocess.py:93} INFO - Added amber-202001-0248
[2025-11-19T06:56:21.887+0000] {subprocess.py:93} INFO - Added amber-202001-0254
[2025-11-19T06:56:21.887+0000] {subprocess.py:93} INFO - Added amber-202001-0284
[2025-11-19T06:56:21.888+0000] {subprocess.py:93} INFO - Added amber-202001-0231
[2025-11-19T06:56:21.888+0000] {subprocess.py:93} INFO - Added amber-202001-0232
[2025-11-19T06:56:21.888+0000] {subprocess.py:93} INFO - Added amber-202001-0233
[2025-11-19T06:56:21.888+0000] {subprocess.py:93} INFO - Added amber-202001-0235
[2025-11-19T06:56:21.888+0000] {subprocess.py:93} INFO - Added amber-202001-0237
[2025-11-19T06:56:21.888+0000] {subprocess.py:93} INFO - Added amber-202001-0239
[2025-11-19T06:56:21.889+0000] {subprocess.py:93} INFO - Added amber-202001-0241
[2025-11-19T06:56:21.889+0000] {subprocess.py:93} INFO - Added amber-202001-0243
[2025-11-19T06:56:21.890+0000] {subprocess.py:93} INFO - Added amber-202001-0245
[2025-11-19T06:56:21.890+0000] {subprocess.py:93} INFO - Added amber-202001-0323
[2025-11-19T06:56:21.890+0000] {subprocess.py:93} INFO - Added amber-202001-0247
[2025-11-19T06:56:21.890+0000] {subprocess.py:93} INFO - Added amber-202001-0251
[2025-11-19T06:56:21.891+0000] {subprocess.py:93} INFO - Added amber-202001-0261
[2025-11-19T06:56:21.891+0000] {subprocess.py:93} INFO - Added amber-202001-0267
[2025-11-19T06:56:21.891+0000] {subprocess.py:93} INFO - Added amber-202001-0250
[2025-11-19T06:56:21.892+0000] {subprocess.py:93} INFO - Added amber-202001-0252
[2025-11-19T06:56:21.892+0000] {subprocess.py:93} INFO - Added amber-202001-0255
[2025-11-19T06:56:21.892+0000] {subprocess.py:93} INFO - Added amber-202001-0256
