[2025-11-14T05:53:52.815+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-11-14T05:54:24.302+0000] {subprocess.py:93} INFO - Added amber-202001-0171
[2025-11-14T05:54:24.302+0000] {subprocess.py:93} INFO - Added amber-202001-0162
[2025-11-14T05:54:24.303+0000] {subprocess.py:93} INFO - Added amber-202001-0215
[2025-11-14T05:54:24.304+0000] {subprocess.py:93} INFO - Added amber-202001-0167
[2025-11-14T05:54:24.304+0000] {subprocess.py:93} INFO - Added amber-202001-0169
[2025-11-14T05:54:24.305+0000] {subprocess.py:93} INFO - Added amber-202001-0170
[2025-11-14T05:54:24.305+0000] {subprocess.py:93} INFO - Added amber-202001-0173
[2025-11-14T05:54:24.306+0000] {subprocess.py:93} INFO - Added amber-202001-0175
[2025-11-14T05:54:24.307+0000] {subprocess.py:93} INFO - Added amber-202001-0189
[2025-11-14T05:54:24.307+0000] {subprocess.py:93} INFO - Added amber-202001-0213
[2025-11-14T05:54:24.307+0000] {subprocess.py:93} INFO - Added amber-202001-0221
[2025-11-14T05:54:24.308+0000] {subprocess.py:93} INFO - Added amber-202001-0172
[2025-11-14T05:54:24.309+0000] {subprocess.py:93} INFO - Added amber-202001-0176
[2025-11-14T05:54:24.309+0000] {subprocess.py:93} INFO - Added amber-202001-0178
[2025-11-14T05:54:24.310+0000] {subprocess.py:93} INFO - Added amber-202001-0183
[2025-11-14T05:54:24.311+0000] {subprocess.py:93} INFO - Added amber-202001-0179
[2025-11-14T05:54:24.312+0000] {subprocess.py:93} INFO - Added amber-202001-0184
[2025-11-14T05:54:24.312+0000] {subprocess.py:93} INFO - Added amber-202001-0180
[2025-11-14T05:54:24.313+0000] {subprocess.py:93} INFO - Added amber-202001-0181
[2025-11-14T05:54:24.314+0000] {subprocess.py:93} INFO - Added amber-202001-0182
[2025-11-14T05:54:24.314+0000] {subprocess.py:93} INFO - Added amber-202001-0186
[2025-11-14T05:54:24.315+0000] {subprocess.py:93} INFO - Added amber-202001-0190
[2025-11-14T05:54:24.316+0000] {subprocess.py:93} INFO - Added amber-202001-0228
[2025-11-14T05:54:24.316+0000] {subprocess.py:93} INFO - Added amber-202001-0242
[2025-11-14T05:54:24.317+0000] {subprocess.py:93} INFO - Added amber-202001-0185
[2025-11-14T05:54:24.318+0000] {subprocess.py:93} INFO - Added amber-202001-0195
[2025-11-14T05:54:24.319+0000] {subprocess.py:93} INFO - Added amber-202001-0260
[2025-11-14T05:54:24.320+0000] {subprocess.py:93} INFO - Added amber-202001-0187
[2025-11-14T05:54:24.320+0000] {subprocess.py:93} INFO - Added amber-202001-0188
[2025-11-14T05:54:24.321+0000] {subprocess.py:93} INFO - Added amber-202001-0191
[2025-11-14T05:54:24.322+0000] {subprocess.py:93} INFO - Added amber-202001-0202
[2025-11-14T05:54:24.322+0000] {subprocess.py:93} INFO - Added amber-202001-0203
[2025-11-14T05:54:24.323+0000] {subprocess.py:93} INFO - Added amber-202001-0223
[2025-11-14T05:54:24.324+0000] {subprocess.py:93} INFO - Added amber-202001-0244
[2025-11-14T05:54:24.325+0000] {subprocess.py:93} INFO - Added amber-202001-0249
[2025-11-14T05:54:24.325+0000] {subprocess.py:93} INFO - Added amber-202001-0204
[2025-11-14T05:54:24.326+0000] {subprocess.py:93} INFO - Added amber-202001-0205
[2025-11-14T05:54:24.327+0000] {subprocess.py:93} INFO - Added amber-202001-0206
[2025-11-14T05:54:24.328+0000] {subprocess.py:93} INFO - Added amber-202001-0211
[2025-11-14T05:54:24.328+0000] {subprocess.py:93} INFO - Added amber-202001-0218
[2025-11-14T05:54:24.329+0000] {subprocess.py:93} INFO - Added amber-202001-0207
[2025-11-14T05:54:24.330+0000] {subprocess.py:93} INFO - Added amber-202001-0214
[2025-11-14T05:54:24.331+0000] {subprocess.py:93} INFO - Added amber-202001-0224
[2025-11-14T05:54:24.331+0000] {subprocess.py:93} INFO - Added amber-202001-0208
[2025-11-14T05:54:24.332+0000] {subprocess.py:93} INFO - Added amber-202001-0209
[2025-11-14T05:54:24.333+0000] {subprocess.py:93} INFO - Added amber-202001-0212
[2025-11-14T05:54:24.333+0000] {subprocess.py:93} INFO - Added amber-202001-0210
[2025-11-14T05:54:24.334+0000] {subprocess.py:93} INFO - Added amber-202001-0216
[2025-11-14T05:54:24.335+0000] {subprocess.py:93} INFO - Added amber-202001-0217
[2025-11-14T05:54:24.336+0000] {subprocess.py:93} INFO - Added amber-202001-0220
[2025-11-14T05:54:24.337+0000] {subprocess.py:93} INFO - Added amber-202001-0227
[2025-11-14T05:54:24.338+0000] {subprocess.py:93} INFO - Added amber-202001-0219
[2025-11-14T05:54:24.339+0000] {subprocess.py:93} INFO - Added amber-202001-0222
[2025-11-14T05:54:24.339+0000] {subprocess.py:93} INFO - Added amber-202001-0225
[2025-11-14T05:54:24.339+0000] {subprocess.py:93} INFO - Added amber-202001-0226
[2025-11-14T05:54:24.340+0000] {subprocess.py:93} INFO - Added amber-202001-0278
[2025-11-14T05:54:24.340+0000] {subprocess.py:93} INFO - Added amber-202001-0288
[2025-11-14T05:54:24.341+0000] {subprocess.py:93} INFO - Added amber-202001-0229
[2025-11-14T05:54:24.342+0000] {subprocess.py:93} INFO - Added amber-202001-0246
[2025-11-14T05:54:24.342+0000] {subprocess.py:93} INFO - Added amber-202001-0230
[2025-11-14T05:54:24.343+0000] {subprocess.py:93} INFO - Added amber-202001-0234
[2025-11-14T05:54:24.343+0000] {subprocess.py:93} INFO - Added amber-202001-0236
[2025-11-14T05:54:24.344+0000] {subprocess.py:93} INFO - Added amber-202001-0238
[2025-11-14T05:54:24.344+0000] {subprocess.py:93} INFO - Added amber-202001-0240
[2025-11-14T05:54:24.345+0000] {subprocess.py:93} INFO - Added amber-202001-0248
[2025-11-14T05:54:24.346+0000] {subprocess.py:93} INFO - Added amber-202001-0254
[2025-11-14T05:54:24.346+0000] {subprocess.py:93} INFO - Added amber-202001-0284
[2025-11-14T05:54:24.347+0000] {subprocess.py:93} INFO - Added amber-202001-0231
[2025-11-14T05:54:24.347+0000] {subprocess.py:93} INFO - Added amber-202001-0232
[2025-11-14T05:54:24.348+0000] {subprocess.py:93} INFO - Added amber-202001-0233
[2025-11-14T05:54:24.348+0000] {subprocess.py:93} INFO - Added amber-202001-0235
[2025-11-14T05:54:24.349+0000] {subprocess.py:93} INFO - Added amber-202001-0237
[2025-11-14T05:54:24.349+0000] {subprocess.py:93} INFO - Added amber-202001-0239
[2025-11-14T05:54:24.349+0000] {subprocess.py:93} INFO - Added amber-202001-0241
[2025-11-14T05:54:24.350+0000] {subprocess.py:93} INFO - Added amber-202001-0243
[2025-11-14T05:54:24.350+0000] {subprocess.py:93} INFO - Added amber-202001-0245
[2025-11-14T05:54:24.351+0000] {subprocess.py:93} INFO - Added amber-202001-0323
[2025-11-14T05:54:24.351+0000] {subprocess.py:93} INFO - Added amber-202001-0247
[2025-11-14T05:54:24.351+0000] {subprocess.py:93} INFO - Added amber-202001-0251
[2025-11-14T05:54:24.352+0000] {subprocess.py:93} INFO - Added amber-202001-0261
[2025-11-14T05:54:24.352+0000] {subprocess.py:93} INFO - Added amber-202001-0267
[2025-11-14T05:54:24.352+0000] {subprocess.py:93} INFO - Added amber-202001-0250
[2025-11-14T05:54:24.353+0000] {subprocess.py:93} INFO - Added amber-202001-0252
[2025-11-14T05:54:24.353+0000] {subprocess.py:93} INFO - Added amber-202001-0255
[2025-11-14T05:54:24.353+0000] {subprocess.py:93} INFO - Added amber-202001-0256
